Key,File,Type,UsedInMainMenu,,english
AECnoteTest01,items,Special Items,,,AEC Test Note 1,
AECnoteTest01Desc,items,Special Items,,,"July 19, 1954\n\nDr. Crenshaw,\nThis is a test of how long a description can be before it is illegible. Hopefully I can fit at least a couple paragraphs before it goes kaput.\n\nIf I want to put a door code in [4012] the letter, this is how I would do it.\n\nI think this should be an effective method of driving the story forward.\n\nGood luck and Godspeed,\nDr. Alan Strauss, Stanford Research Institute",
AECnoteTest02,items,Special Items,,,AEC Test Note 2,
AECnoteTest02Desc,items,Special Items,,,"July 23, 1954\n\nHello Alan,\nI feel it would be appropriate for us to address each other by our first names, as we will be working closely together (literally and figuratively) for quite some time. I'm not positive how many different icons we will be able to use that are built into the 7D2D, however we can make our own custom icons if need be. In order to fit with the look and feel of 7D2D, making it compatible with later versions, we must avoid making custom graphical resources wherever possible. The real story plays out in your mind, Alan.\n\nBest regards,\nDr. Marie W. Crenshaw, Atomic Energy Commission"
dialog_KaceyGellar_statement_start,Quest,Dialogs,,,"Unless you need shelter or medical assistance, I suggest you keep it moving."
dialog_KaceyGellar_response_start,Quest,Dialogs,,,"I didn't expect someone to be alive down here."
dialog_KaceyGellar_statement_wh_DLAMP_01,Quest,Dialogs,,,"I'm not exactly sure what it is, but I know it's called D-LAMP. It's old, apparently first built in the 1950s. How it's so clean and... yeah... I have no idea. I found some signs and papers around with Atomic Energy Commission letterhead. My guess is that they ran this place. For what purpose, I have no idea, but it's clean, warm, and some of this stuff still works. I take it you'll be staying a few nights. Just stay away from me and my things and we'll get along juuuuuust fine."
dialog_KaceyGellar_response_wh_DLAMP_01,Quest,Dialogs,,,"What is this place?"
dialog_KaceyGellar_statement_wy_here_01,Quest,Dialogs,,,"Why the Hell do you think I'm here? I stumbled across it while trying to survive that Hellscape up there. Same reason you're here."
dialog_KaceyGellar_statement_indentify_01,Quest,Dialogs,,,"Oh, we're doing that? Okay... I guess. My name is Kacey Gellar, I used to be a ER doctor at NYU Langone before all the shit went to shit. I prefer not to talk about that... [Kacey trails off]\n\nI knew when things started happening that the Southwest would probably be the safest place to go. Having crossed two-thirds of the United States to get here, I'd say that assessment was correct. Have you been outside of Arizona? It's... it's horrific. The zombies are the least of your worries."
dialog_KaceyGellar_response_wy_here_01,Quest,Dialogs,,,"Why are you here?"
dialog_KaceyGellar_response_indentify_01,Quest,Dialogs,,,"[Tell her your name.]"
dialog_KaceyGellar_statement_help_start,Quest,Dialogs,,,"Wow, I like you're spirit. We're all that's left, right? War and violence is for the dead, my Mom and Dad always said. Oh boy... umm... where to start?"
dialog_KaceyGellar_response_help_start,Quest,Dialogs,,,"How can I help out around here?"
dialog_KaceyGellar_response_nevermind,Quest,Dialogs,,,"[another topic]"
dialog_KaceyGellar_response_done,Quest,Dialogs,,,"I have to go."
dialog_KaceyGellar_statement_help_01,Quest,Dialogs,,,"I guess just get yourself situated first. Move your gear in, find a place to put your bedroll. There are a bunch of locked doors and elevators, but I can't get them open."
dialog_KaceyGellar_statement_help_02,Quest,Dialogs,,,"I did manage to find a keycode that opened up the area we're in right now, but that's it. I've honestly been a bit nervous about opening titanium vault doors around here. After all, this place was operated by the Atomic Energy Commission. For all I know, we could be recieving lethal doses of radiation right now. I've been here a few days, and I'm not coughing up blood, not yet at least."
dialog_KaceyGellar_statement_help_03,Quest,Dialogs,,,"After you're settled, take a look around, see if you can find a way to get some of these doors opened up. If I'm gonna die, I'd rather it be down here than up there."
npcKaceyGellar,entityclasses,Entity,,,Kacey Gellar
dialog_KaceyGellar_response_help_bedroll_place,Quest,Dialogs,,,"Wait, you camp out here?"
dialog_KaceyGellar_statement_help_bedroll_place,Quest,Dialogs,,,"This space seems pretty comfy and it's near the entrance. If you want to put down a bedroll and camp out in the opposite corner, we can watch each other's backs. Problem with horror movies is everyone always splits up. I don't understand why they always split up!"
dialog_KaceyGellar_statement_help_bedroll_no,Quest,Dialogs,,,"I guess you could camp anywhere you want. I just think if this was a horror movie, which, I mean, you know... zombies... I think it's dumb to split up if we're working together."
dialog_KaceyGellar_response_help_bedroll_no,Quest,Dialogs,,,"I think I'd better camp somewhere else."
dialog_KaceyGellar_statement_help_bedroll_yes,Quest,Dialogs,,,"I'm not sure humans have the luxury of not trusting one another anymore. Get some rest. If you need anything, maybe we can trade."
dialog_KaceyGellar_response_help_bedroll_yes,Quest,Dialogs,,,"Really? You trust me so soon?"
dialog_KaceyGellar_statement_help_no,Quest,Dialogs,,,"Thanks for the kind words... let me know if you change your mind sometime. They built this place for a reason."
dialog_KaceyGellar_statement_help_yes,Quest,Dialogs,,,"Great! Let's get to it. When you're ready, search around for any documentation, ID cards, anything. If you can pick locks, check for safes and locked drawers. I already tried getting past those vault doors. No way in without those codes."
